HCM2,CONTROL,LOCALE,CCBASIC,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,MENONLY,WOMENONLY,ADM_RATE_ALL,SATVR25,SATVR75,SAT_AVG_ALL,DISTANCEONLY,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,INEXPFTE,AVGFACSAL,PFTFAC,C150_4,C150_4_BLACK,C150_4_HISP,C150_4_ASIAN,C150_4_AIAN,C150_4_NRA,PCTFLOAN,UG25abv,LO_INC_COMP_ORIG_YR6_RT,MD_INC_COMP_ORIG_YR6_RT,HI_INC_COMP_ORIG_YR6_RT,FIRSTGEN_COMP_ORIG_YR6_RT,PAR_ED_PCT_1STGEN,DEBT_MDN,mn_earn_wne_p8,pct25_earn_wne_p8,pct75_earn_wne_p8,pct90_earn_wne_p8,RPY_3YR_RT_SUPP,LO_INC_RPY_3YR_RT_SUPP,MD_INC_RPY_3YR_RT_SUPP,HI_INC_RPY_3YR_RT_SUPP,NONCOM_RPY_3YR_RT_SUPP,FIRSTGEN_RPY_3YR_RT_SUPP,PCT_LIBERAL_ARTS,PCT_VOCATIONAL,PCT_RELIGIOUS,COST,PCT_PROFESSIONAL
0,2,32,22,1,0,0,0,0,0,0,0,0,0.4107829999999999,343.38,446.46,768.58,0,0.0115,0.9388,0.0134,0.0038,6652.0,5720.0,0.5833,0.2115,0.1944,1.0,0.304984,0.398856,0.5714,0.91,0.2367,0.22722987732889002,0.29890333344114,0.4470706764093599,0.23174592905315008,0.514957265,8050.0,22800.0,12600.0,30800.0,41100.0,0.254125413,0.257575758,0.21875,0.38641311498665004,0.242214533,0.284552846,0.8271999999999999,0.0,0.0,17655.0,0.1728
0,3,12,23,0,0,0,0,0,0,0,0,0,0.4829,392.955,498.67,901.69,0,0.2988,0.6628,0.0117,0.0033,4728.0,4566.0,0.1667,0.0784,0.0541,0.142733,0.0,0.0,0.528928,0.7543,0.5726,0.186204553177,0.27797833935,0.5032101286367803,0.237246161466,0.488117088,9500.0,33700.0,15400.0,45500.0,66e3,0.349280501,0.297383876,0.433681893,0.608558842,0.32561847899999996,0.337491473,0.0441,0.0,0.0,28525.0,0.9780000000000001
0,2,12,22,0,0,0,0,0,0,0,0,0,0.5802,281.0,483.0,953.0,0,0.3919,0.5254,0.0178,0.0047,5382.0,6657.0,0.4757,0.2287,0.2055,0.0,0.0,0.5,0.0,0.7427,0.4589,0.23190789473700002,0.2883434340378399,0.4209522597456401,0.211764705882,0.434278351,18750.0,39200.0,21300.0,52600.0,74100.0,0.563029397,0.47779605299999994,0.65154265,0.812785388,0.560344828,0.59478673,0.10520000000000002,0.0,0.0105,28485.0,1.0594999999999999
0,2,12,22,0,0,0,0,0,0,0,0,0,0.6279,420.0,500.0,999.0,0,0.5845,0.1918,0.02,0.0091,6571.0,6027.0,0.4083,0.4319,0.4773,0.0,0.0,0.0,1.0,0.7227,0.1937,0.393617021277,0.485436893204,0.49603312128035015,0.423076923077,0.337797619,16850.0,36100.0,20400.0,44900.0,64e3,0.781431335,0.7417582420000001,0.784615385,0.828571429,0.7142857140000001,0.757731959,0.4286,0.0,0.0507,31433.0,0.5206999999999999
0,2,13,24,0,0,0,0,0,0,0,0,0,0.8016900000000001,385.98,501.1,925.92,0,0.7313,0.1194,0.0448,0.0,9356.0,5512.0,1.0,0.0,0.0,0.16930299999999998,0.2156460000000001,0.24655799999999992,0.0,0.4839,0.5942,0.22546424631572987,0.3364024650944899,0.41649532286602997,0.29167280998384,0.46666666700000003,13250.0,32700.0,15238.0,42103.0,59220.0,0.511627907,0.470588235,0.61560217605,0.7117143544194002,0.441176471,0.5253249168499997,0.0,0.0,1.0,21160.0,0.0
0,1,13,18,0,0,0,0,0,0,0,0,0,0.8326,430.0,540.0,1036.0,0,0.6655,0.2628,0.0133,0.0053,6949.0,6857.0,0.6516,0.3083,0.2457,0.3333,0.2857,0.6,0.7391,0.6811,0.22,0.306620209059,0.322222222222,0.4774368762203,0.354838709677,0.41339491899999997,16500.0,33400.0,17400.0,43400.0,59400.0,0.627607888,0.548143852,0.675468484,0.7657657659999999,0.52393617,0.6177138529999999,0.3882999999999999,0.048299999999999996,0.0,19202.0,0.6139
0,2,43,21,0,0,0,0,0,0,0,0,1,0.7388,550.0,640.0,1023.0,0,0.7915,0.145,0.0151,0.0091,9293.0,5638.0,1.0,0.4051,0.1,0.0,0.492439,0.28301000000000004,1.0,0.711,0.2622,0.369565217391,0.317073170732,0.44483378874234025,0.31914893617,0.354285714,14250.0,28400.0,12700.0,36100.0,50400.0,0.718120805,0.620689655,0.7540983609999999,0.8353936494181802,0.673076923,0.6875,0.3965,0.0,0.0172,27815.0,0.6552
0,1,43,18,0,1,0,0,0,0,0,0,0,0.9957,462.0,500.0,950.0,0,0.4291,0.4195,0.0216,0.0101,8898.0,6408.0,0.5404,0.3161,0.2767,0.3333,0.5,0.0,1.0,0.7193,0.1786,0.289215686275,0.33582089552199995,0.44956378596926,0.268939393939,0.440476191,13500.0,34400.0,19100.0,45800.0,63200.0,0.543230016,0.479415671,0.600649351,0.792857143,0.5202205879999999,0.523809524,0.47780000000000006,0.0339,0.0,17959.0,0.4882
0,2,21,22,1,0,0,0,0,0,0,0,0,0.4276319999999999,343.77,435.09,766.68,0,0.018000000000000002,0.9693,0.0054,0.0,4921.0,4026.0,0.7786,0.21600000000000003,0.2095,0.2857,0.34751999999999994,0.42749000000000004,0.45834199999999997,0.9184,0.1657,0.154639175258,0.25649758363095,0.44868717619009024,0.134453781513,0.447284345,12908.5,24500.0,12100.0,33300.0,45800.0,0.21678891600000003,0.206047032,0.23076923100000002,0.314814815,0.21440536,0.215217391,0.39569999999999994,0.0321,0.0,21336.0,0.7538999999999999
0,2,41,22,0,0,0,0,0,0,0,0,0,0.7125,470.0,610.0,1058.0,0,0.6461,0.21600000000000003,0.0122,0.0095,6715.0,5024.0,1.0,0.4904,0.3333,0.5,0.0,0.3333,0.4286,0.8009,0.2782,0.42567567567599995,0.47368421052599996,0.5287216430760397,0.5,0.385196375,22500.0,36800.0,19300.0,49200.0,67400.0,0.755856967,0.662198391,0.8045977009999999,0.890243902,0.7133479209999999,0.7142857140000001,0.5084,0.0,0.0869,30108.0,0.40470000000000006
0,1,21,19,0,0,0,0,0,0,0,0,0,0.8729,495.0,613.0,1070.0,0,0.7368,0.1398,0.023,0.0065,7719.0,7035.0,0.5951,0.4493,0.4143,0.2222,0.3333,1.0,0.6,0.5872,0.1203,0.47533632287,0.486631016043,0.5373562999659101,0.532710280374,0.37431192700000004,15872.0,31700.0,16900.0,42800.0,54900.0,0.7711864409999999,0.688,0.803125,0.857142857,0.6794354840000001,0.767507003,0.5705,0.0767,0.0,20209.0,0.35269999999999996
0,1,13,18,0,0,0,0,0,0,0,0,0,0.8092,413.0,565.0,1028.0,0,0.715,0.1384,0.0246,0.0038,6814.0,7152.0,0.9882,0.3216,0.2406,0.2308,0.6667,0.375,0.0916,0.6883,0.1503,0.31931166348,0.493670886076,0.5193934059858099,0.44130434782600003,0.38319401700000005,12542.0,35600.0,19400.0,45e3,62600.0,0.687901008,0.578892372,0.750328515,0.811494253,0.585598824,0.682953312,0.4792,0.0378,0.0,15058.0,0.5315
0,2,12,22,1,0,0,0,0,0,0,0,0,0.3435,410.0,513.0,924.0,0,0.0102,0.8495,0.0237,0.0016,7656.0,5307.0,1.0,0.3632,0.3651,0.0,1.0,0.28762600000000005,0.4091,0.7411,0.1472,0.20408163265299997,0.326923076923,0.41638504126343007,0.260869565217,0.212009804,22e3,32300.0,14600.0,44e3,63e3,0.439215686,0.384848485,0.473498233,0.5106382979999999,0.38785834700000005,0.42281879200000005,0.5332999999999999,0.0139,0.0833,34705.0,0.3696
0,2,21,19,0,0,0,0,0,0,0,0,0,0.7697,500.0,630.0,1153.0,0,0.8114,0.0664,0.0664,0.008,14054.0,8261.0,0.9939,0.6920000000000001,0.4194,0.6667,1.0,0.6667,1.0,0.3653,0.0601,0.593103448276,0.616822429907,0.712643678161,0.514705882353,0.145038168,2e4,48900.0,26300.0,58400.0,89e3,0.9153605020000001,0.8561643840000001,0.913705584,0.9453924909999999,0.848,0.877862595,0.4867,0.0533,0.037,38835.0,0.42310000000000003
0,2,32,24,1,0,0,0,0,0,0,0,0,0.4820779999999998,342.72,438.88,775.25,0,0.0336,0.9664,0.0,0.0,3672.0,3232.0,0.84,0.2133,0.2133,0.0,0.26585300000000006,0.19089899999999996,1.0,0.7679,0.5017,0.23600931138899006,0.3272651602327099,0.47890531042951023,0.25767802849618,0.598445596,3775.0,23878.0,11044.0,31738.0,44850.0,0.15789473699999998,0.13888888900000002,0.26422266789000004,0.41908694753333003,0.125,0.2374676320899999,0.2308,0.0,0.5769,11187.0,0.1923
0,1,12,16,0,0,0,0,0,0,0,0,0,0.8604,440.0,550.0,1064.0,0,0.6374,0.22899999999999998,0.0246,0.0337,10325.0,7212.0,0.6418,0.3342,0.1811,0.3478,0.375,0.4167,0.3731,0.5549,0.2343,0.329113924051,0.413314840499,0.4519276807250601,0.351170568562,0.36299765799999995,15e3,39900.0,20200.0,50400.0,73200.0,0.7014892690000001,0.63446712,0.7506684490000001,0.8059701490000001,0.623937677,0.68913649,0.4274,0.0,0.003,17125.0,0.5953
0,2,12,20,0,0,0,0,0,0,0,0,0,0.4627,480.0,600.0,1100.0,0,0.6643,0.1608,0.0875,0.0071,6999.0,6057.0,0.597,0.5632,0.38,0.6071,1.0,0.25,0.6667,0.6564,0.0712,0.444444444444,0.518867924528,0.559139784946,0.578947368421,0.276559865,20500.0,4e4,23600.0,52e3,66800.0,0.811918063,0.7253886009999999,0.833333333,0.88372093,0.76060606099999994,0.776397516,0.6226999999999999,0.0,0.0236,43325.0,0.3537
0,2,21,24,0,0,0,0,0,0,0,0,0,0.9615,370.0,470.0,970.0,0,0.625,0.2938,0.0313,0.0,4314.0,4577.0,1.0,0.1935,0.0,0.0,0.33881199999999995,0.1888,1.0,0.7877,0.5466,0.3125,0.375,0.4248259635434801,0.33333333333299997,0.42105263200000004,19414.5,30800.0,14679.0,40546.0,56259.0,0.49606299200000004,0.420289855,0.5625,0.6453279297400001,0.46666666700000003,0.489361702,0.0,0.0,1.0,19127.0,0.0
0,2,13,21,1,0,0,0,0,0,0,0,0,0.43,350.0,450.0,882.0,0,0.0626,0.9224,0.0104,0.0023,4330.0,4743.0,1.0,0.2619,0.2582,1.0,0.31481400000000004,0.187415,0.0,0.8145,0.0533,0.25641025641,0.29274533761431004,0.45635584039262994,0.220183486239,0.403131116,19e3,26300.0,13200.0,35400.0,49600.0,0.29356357899999996,0.265882353,0.28301886800000003,0.583333333,0.260869565,0.300925926,0.7008,0.0,0.0073,24744.0,0.292
0,2,32,21,1,0,0,0,0,0,0,0,0,0.3816,270.0,470.0,886.0,0,0.0391,0.8949,0.0257,0.0045,6876.0,5063.0,0.8182,0.8240000000000001,0.8306,0.0,0.5472069999999999,0.42917299999999997,1.0,0.9279999999999999,0.1706,0.305555555556,0.43940131922426984,0.50040721823099,0.40625,0.474226804,19e3,21100.0,11900.0,29600.0,36500.0,0.29247910899999996,0.254032258,0.36666666700000006,0.4464737683500101,0.237037037,0.31578947399999996,0.41009999999999996,0.0,0.0,18758.0,0.5898
0,1,41,18,0,0,0,0,0,0,0,0,0,0.6821,422.04,526.11,990.0,0,0.4908,0.3672,0.0297,0.0083,5260.0,5996.0,0.4007,0.3466,0.2484,0.375,0.2353,0.1563,0.1515,0.6414,0.5332,0.214454576157,0.292042657916,0.4609831093874302,0.23021978022,0.453292022,17750.0,36900.0,20100.0,46800.0,66200.0,0.5435082139999999,0.472240915,0.631102362,0.772511848,0.518395443,0.536631016,0.5069000000000001,0.003,0.0,16877.0,0.635
0,2,32,22,1,0,0,0,0,0,0,0,0,0.3511,400.0,510.0,937.0,0,0.0019,0.7752,0.0019,8e-4,13235.0,6679.0,0.9685,0.4384,0.4317,0.6667,0.0,1.0,1.0,0.73740000000000006,0.0368,0.257142857143,0.295652173913,0.45605077650995,0.263157894737,0.26391231,23687.5,37100.0,17700.0,52200.0,71900.0,0.618340611,0.598901099,0.626535627,0.656084656,0.6039325839999999,0.622302158,0.48260000000000003,0.0058,0.0,32853.0,0.5116
0,2,13,32,0,0,0,0,0,0,0,0,0,0.724291,455.82,569.46,1029.54,0,0.2125,0.1125,0.0875,0.025,3428.0,5755.0,0.2258,0.42548400000000003,0.3107689999999999,0.38701900000000017,0.4461119999999999,0.3180029999999999,0.5252150000000001,0.6068,0.4737,0.40952743918715,0.4480327970202702,0.4828670973347299,0.4436603227621202,0.458823529,16248.0,41739.0,22351.0,54492.0,75290.0,0.72826087,0.690909091,0.666666666667,0.8216866631345497,0.7183098590000001,0.688888889,1.0,0.0,0.0,32477.74,0.0
0,1,11,18,0,0,0,0,0,0,1,0,0,0.7248,440.0,480.0,960.0,0,0.5759,0.0361,0.0735,0.0722,9844.0,8471.0,0.8852,0.2547,0.2564,0.1803,0.2677,0.1048,0.4545,0.28600000000000003,0.4386,0.227528089888,0.283124128312,0.40162510755594993,0.260471204188,0.430648236,11336.5,44800.0,21700.0,60100.0,83e3,0.7473845370000001,0.676622631,0.7838915470000001,0.836343115,0.696333333,0.744795682,0.34529999999999994,0.123,0.0048,13180.0,0.5546000000000001
0,1,23,16,0,0,1,0,0,0,0,0,0,0.7446,450.0,600.0,1023.0,0,0.4486,0.0229,0.0504,0.0133,16400.0,8842.0,0.9141,0.309,0.1538,0.1724,0.4231,0.1688,0.5,0.2676,0.4519,0.207207207207,0.255892255892,0.43380405681520995,0.218120805369,0.425887265,11247.0,39e3,17200.0,53100.0,75900.0,0.695026962,0.621776504,0.7124773959999999,0.7994923859999999,0.649883811,0.669421488,0.3739,0.1581,0.0056,15035.0,0.5245
0,1,33,20,0,0,1,0,0,0,0,0,0,0.7034,440.0,580.0,991.0,0,0.4751,0.0081,0.0551,0.0276,11626.0,8027.0,0.912,0.1389,0.0,0.0,0.0,0.1111,0.0,0.209,0.555,0.195402298851,0.26966292134799996,0.42062536092005026,0.24516442615314002,0.380073801,11750.0,37e3,18e3,50500.0,65700.0,0.732209738,0.665322581,0.755813953,0.842105263,0.704845815,0.673913043,0.4087,0.11979999999999999,0.0,16409.0,0.5203
0,2,11,20,0,0,0,0,0,0,0,0,0,0.3745,465.0,575.0,1008.0,0,0.5441,0.0294,0.0353,0.0176,10753.0,5137.0,1.0,0.3902,0.0,0.4,0.0,0.0,0.0,0.4587,0.491,0.316666666667,0.477272727273,0.45527097852565995,0.33333333333299997,0.353383459,19250.0,41100.0,2e4,57800.0,73200.0,0.768240343,0.655555556,0.842105263,0.8478260870000001,0.697986577,0.7260273970000001,0.6375000000000001,0.0,0.0,42925.0,0.3625
0,1,43,2,0,0,0,0,0,0,0,0,0,0.7248,428.55,535.44,960.0,0,0.3657,0.0,0.0672,0.0,9474.0,7202.0,0.8889,0.3100620000000001,0.27669399999999994,0.3373799999999999,0.4799279999999999,0.36840000000000006,0.559929,0.2015,0.5393,0.227528089888,0.283124128312,0.47847215777537,0.260471204188,0.430648236,11336.5,44800.0,21700.0,60100.0,83e3,0.7473845370000001,0.676622631,0.7838915470000001,0.836343115,0.696333333,0.744795682,1.0,0.0,0.0,12434.0,0.0
0,2,11,22,0,0,0,0,0,0,0,0,0,0.8333,270.0,440.0,810.0,0,0.0649,0.1169,0.1948,0.0,6669.0,1954.0,1.0,0.5,0.0,0.0,0.34993900000000017,0.6667,1.0,0.6986,0.4684,0.24275199472880996,0.3247932895304501,0.4041450568192902,0.27631893136967994,0.5,16750.0,28237.0,13980.0,39417.0,54236.0,0.46875,0.4267911435199999,0.5188061178500001,0.6014143975990999,0.43706056487999995,0.4528418182699999,0.3333,0.0,0.5556,20601.0,0.1111
0,1,12,15,0,0,0,0,0,0,0,0,0,0.7626,500.0,620.0,1108.0,0,0.5755,0.0398,0.1853,0.0677,9080.0,10405.0,0.8787,0.5947,0.4228,0.5264,0.6585,0.3116,0.6127,0.4784,0.1414,0.502256770311,0.564203612479,0.614574557709,0.52653858678,0.385883455,16250.0,46e3,27e3,59e3,80600.0,0.8028375109999999,0.7581794620000001,0.80975515,0.860263034,0.695420975,0.7909054809999999,0.5265,0.023399999999999997,0.0086,21960.0,0.4418
0,1,11,15,0,0,0,0,0,0,0,0,0,0.7692,483.0,600.0,1106.0,0,0.5464,0.0333,0.2444,0.0561,11382.0,10320.0,0.7478,0.6139,0.4743,0.573,0.6659,0.4372,0.6768,0.3962,0.091,0.4375,0.459459459459,0.565723793677,0.425790754258,0.32856853199999997,13500.0,46400.0,25500.0,59900.0,84100.0,0.8326513329999999,0.780203237,0.8471910109999999,0.8863636359999999,0.764705882,0.8012295079999999,0.5752999999999999,0.0403,0.0137,23905.0,0.37060000000000004
0,3,11,30,0,0,0,0,0,0,0,0,0,0.8692,438.0,550.0,925.0,0,0.5324,0.0648,0.287,0.0093,3390.0,3141.0,0.5652,0.8333,0.6898909999999999,0.6667,1.0,1.0,0.586167,0.6777,0.8657,0.19298245614,0.322033898305,0.47862639217905034,0.244897959184,0.33587786299999994,2e4,30200.0,14300.0,39200.0,51600.0,0.46308724799999995,0.36158192100000003,0.6190476189999999,0.628571429,0.384615385,0.495495495,0.0652,0.0,0.0,49519.0,0.9348
0,2,41,22,0,0,0,0,0,0,0,0,0,0.7814,500.0,630.0,1126.0,0,0.6016,0.0172,0.0755,0.0494,18433.0,8387.0,0.7018,0.5915,0.3333,0.4412,0.7742,0.5,0.5833,0.5596,0.1166,0.340153452685,0.44269340974200005,0.550918196995,0.38437001594899994,0.38072637200000004,16500.0,59200.0,34400.0,77900.0,103900.0,0.865240345,0.808695652,0.869873817,0.917026793,0.824953445,0.8588560890000001,0.264,0.3199,0.0,45228.0,0.4162
0,2,41,30,0,0,0,0,0,0,0,0,0,0.7273,448.76,578.78,1017.38,0,0.5,0.0,0.0,0.0,10874.0,4214.0,0.2174,0.2857,0.16896500000000003,0.0,0.343936,0.24505599999999997,0.4702390000000001,0.3333,0.3333,0.40249466765788994,0.46459739313183007,0.55384421166245,0.4322989859369299,0.3263339633699999,13708.315,27708.0,13502.0,37404.0,56259.0,0.7640925781800003,0.68739057264302,0.7858481143538201,0.8591318608845397,0.69248084462809,0.73180738772821,0.0,0.0,0.0,28012.32,1.0
0,3,11,18,0,0,0,0,0,0,0,0,0,0.5479999999999999,470.0,570.0,1023.0,0,0.4427,0.2075,0.1452,0.0437,2806.0,5473.0,0.1175,0.3036,0.1667,0.5,0.43124399999999996,0.0,0.3333,0.6248,0.664,0.210491367862,0.275427542754,0.4446703123535801,0.251956181534,0.500360391,11644.0,51300.0,27200.0,68500.0,93500.0,0.39940339799999997,0.310151945,0.503285987,0.6825938570000001,0.38599312399999997,0.39790174,0.25949999999999995,0.0,0.0313,31613.0,0.7242
0,1,13,16,0,0,0,0,0,0,0,0,0,0.9137,470.0,580.0,1050.0,0,0.628,0.0325,0.1925,0.016,6893.0,7863.0,0.6172,0.4924,0.4105,0.4033,0.4659,0.2895,0.9545,0.5571,0.1989,0.41841269841300005,0.516279069767,0.5201863354039999,0.46215494211900005,0.385664834,15e3,38900.0,22400.0,5e4,69e3,0.760114231,0.7028753990000001,0.773358888,0.8352444179999999,0.668435013,0.738285145,0.5984,0.0283,0.0037,22771.0,0.36960000000000004
0,2,11,19,0,0,0,0,0,0,0,0,0,0.9888,424.27,537.95,1020.0,0,0.3881,0.0955,0.1373,0.009000000000000001,1951.0,5768.0,0.9286,0.34752800000000006,0.274253,0.3641360000000002,0.38139399999999996,0.3280899999999999,0.32057099999999994,0.7946,0.8841,0.27218934911200005,0.262820512821,0.259259259259,0.275362318841,0.45204603600000004,17e3,42300.0,25300.0,52500.0,76100.0,0.724907063,0.63962766,0.768606225,0.805774278,0.71898442,0.720154044,0.5959,0.0,0.0051,31875.34,0.4091
0,3,12,18,0,0,0,0,0,0,0,0,0,0.7658069999999999,414.23,531.71,992.0,0,0.3292,0.0818,0.1961,0.0112,1898.0,2795.0,0.0705,0.1568,0.16,0.1899,0.0,0.2,0.1538,0.6171,0.8477,0.209115117007,0.344671452236,0.444523521458,0.282212086659,0.536872484,18532.0,52900.0,27400.0,7e4,98300.0,0.40653404299999996,0.32355328,0.5208191910000001,0.6687334229999999,0.350050277,0.40154376299999994,0.13,0.0,0.0,24167.0,0.9999
0,2,13,20,0,0,0,0,0,0,0,0,0,0.7293,480.0,640.0,1094.0,0,0.7296,0.0148,0.0574,0.0111,6669.0,4248.0,0.6932,0.3768,0.0,0.0,0.0,1.0,0.0,0.6478,0.3817,0.2,0.307692307692,0.434782608696,0.493333333333,0.27309237,19874.5,30600.0,15300.0,40800.0,53500.0,0.815551537,0.787545788,0.831395349,0.873786408,0.805168986,0.781456954,0.8994,0.0,0.0,40206.0,0.1005
0,2,11,22,0,0,0,0,0,0,0,0,0,0.6076,440.0,580.0,1045.0,0,0.5906,0.0509,0.1426,0.0143,5656.0,4617.0,0.2051,0.4737,0.0,0.0,1.0,0.0,0.0,0.5183,0.1055,0.320754716981,0.325,0.4265288299935302,0.32809733703411,0.268965517,13136.5,32200.0,19300.0,43900.0,56700.0,0.7489177490000001,0.715789474,0.7439024390000001,0.811320755,0.670886076,0.7260273970000001,0.4524,0.0,0.3333,34444.0,0.2143
